X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
1458;359;0.5698907;0.2495494;0.5698907;0.2495494;738.8;0.2186645;False;24.05.2024 14:06:20:863;1716552380863;;
1123;307;0.4389991;0.2133713;0.3078386;0.1002924;743.5;0.2276882;False;24.05.2024 14:06:20:908;1716552380908;;
995;288;0.3890299;0.2001423;0.2819105;0.1002601;747.4;0.254363;False;24.05.2024 14:06:20:931;1716552380931;;
987;277;0.3858414;0.1925663;0.3702722;0.1115308;751.2;0.2535083;False;24.05.2024 14:06:20:952;1716552380952;;
965;266;0.3769546;0.1851376;0.3397498;0.1036232;753.3;0.2449829;False;24.05.2024 14:06:20:973;1716552380973;;
956;259;0.3734488;0.180503;0.350245;0.1056592;755.2;0.245167;False;24.05.2024 14:06:20:990;1716552380990;;
972;251;0.3799438;0.1747763;0.4798732;0.0964678;757.6;0.2447268;False;24.05.2024 14:06:21:9;1716552381009;;
977;247;0.381777;0.171729;0.401463;0.1170415;757.9;0.2424188;False;24.05.2024 14:06:21:32;1716552381032;;
980;244;0.3829504;0.1697343;0.4015164;0.1170536;758.1;0.2427464;False;24.05.2024 14:06:21:50;1716552381050;;
994;262;0.388404;0.1825517;0.4739446;0.2852713;756.9;0.228425;False;24.05.2024 14:06:21:69;1716552381069;;
1006;278;0.3931789;0.1931903;0.4739777;0.285268;755.9;0.2284454;False;24.05.2024 14:06:21:89;1716552381089;;
979;417;0.3825433;0.2898377;0.3285905;0.5569016;754.8;0.2305054;False;24.05.2024 14:06:21:107;1716552381107;;
970;508;0.3790548;0.3531301;0.353203;0.5510712;752.1;0.226353;False;24.05.2024 14:06:21:125;1716552381125;;
967;559;0.3778301;0.3887686;0.3638054;0.5404228;749.7;0.2260707;False;24.05.2024 14:06:21:142;1716552381142;;
882;665;0.3445448;0.4622491;0.2365739;0.6634901;748.2;0.2232122;False;24.05.2024 14:06:21:161;1716552381161;;
868;701;0.3394039;0.4872514;0.3006813;0.6037711;746.9;0.2227685;False;24.05.2024 14:06:21:176;1716552381176;;
